,urban,gender,age,hand,voted,married,familysize,points,result
334,3,1,19,1,2,1,3,22,Not complotist
335,2,2,29,1,1,2,1,42,complotist
336,3,1,23,1,1,1,3,54,complotist
337,1,1,70,1,2,2,2,40,complotist
338,2,1,16,1,2,1,3,48,complotist
339,2,1,21,1,2,1,3,46,complotist
340,2,1,18,1,2,1,3,49,complotist
341,3,2,15,1,2,1,2,49,complotist
342,2,1,13,1,1,1,1,35,Not complotist
343,3,2,17,1,2,1,2,56,complotist
344,3,3,17,1,2,1,2,64,complotist
345,3,1,17,3,2,1,0,22,Not complotist
346,3,2,30,1,2,3,3,38,Not complotist
347,3,2,14,1,2,1,2,27,Not complotist
348,3,2,24,1,2,1,1,53,complotist
349,2,2,25,2,1,2,3,31,Not complotist
350,1,2,15,1,2,1,2,60,complotist
351,3,2,19,1,2,1,3,69,complotist
352,3,1,16,2,2,1,2,22,Not complotist
353,2,1,21,1,1,1,2,33,Not complotist
354,1,2,22,1,1,1,2,51,complotist
355,0,1,43,1,2,2,2,64,complotist
356,3,1,58,1,1,2,6,37,Not complotist
357,2,2,15,1,2,1,2,41,complotist
358,2,2,17,1,2,1,2,21,Not complotist
359,2,2,15,2,2,1,2,15,Not complotist
360,1,2,17,1,2,1,2,28,Not complotist
361,1,1,18,1,2,1,2,60,complotist
362,2,1,21,2,2,1,2,36,Not complotist
363,2,1,15,1,2,1,2,38,Not complotist
364,2,1,15,1,2,1,2,53,complotist
365,2,2,26,2,1,1,2,36,Not complotist
366,2,2,15,1,2,1,5,41,complotist
367,3,1,19,1,2,1,2,22,Not complotist
368,2,2,15,1,2,1,2,48,complotist
369,1,1,17,1,2,1,2,46,complotist
370,3,1,21,1,1,1,2,48,complotist
371,3,2,15,1,2,1,3,35,Not complotist
372,3,2,15,1,2,1,3,42,complotist
373,2,2,18,2,2,1,3,44,complotist
374,2,1,47,1,1,3,4,53,complotist
375,2,2,17,1,2,1,2,43,complotist
376,3,1,65,1,2,2,4,15,Not complotist
377,1,1,55,2,1,2,4,29,Not complotist
378,2,2,14,1,2,1,4,65,complotist
379,1,2,16,1,2,1,1,39,Not complotist
380,2,2,29,1,1,1,3,53,complotist
381,3,3,22,1,1,1,3,19,Not complotist
382,0,2,24,2,2,1,1,37,Not complotist
383,1,1,16,1,2,1,1,65,complotist
384,2,2,20,1,2,1,1,43,complotist
385,2,1,16,3,2,1,5,49,complotist
386,2,1,46,1,1,2,4,17,Not complotist
387,1,1,20,1,2,2,2,42,complotist
388,1,2,20,1,2,1,2,46,complotist
389,2,1,29,1,2,1,2,63,complotist
390,3,1,20,1,2,1,1,58,complotist
391,3,2,27,1,1,1,1,52,complotist
392,2,1,23,1,1,1,2,43,complotist
393,2,2,18,1,1,1,2,52,complotist
394,3,1,35,1,2,1,2,33,Not complotist
395,0,1,49,1,2,1,3,48,complotist
396,2,1,31,1,2,1,2,45,complotist
397,2,3,16,1,2,1,2,55,complotist
398,1,2,20,1,2,1,2,54,complotist
399,2,1,19,1,2,1,1,19,Not complotist
400,2,1,26,1,1,1,2,39,Not complotist
401,2,2,17,1,2,1,2,57,complotist
402,3,1,68,1,2,2,3,56,complotist
403,1,1,22,1,1,1,1,21,Not complotist
404,2,2,19,1,2,1,3,44,complotist
405,1,2,47,2,2,2,3,44,complotist
406,1,1,35,1,1,2,3,49,complotist
407,2,1,19,1,2,1,3,49,complotist
408,2,1,17,1,2,1,2,28,Not complotist
409,3,3,25,2,2,1,4,56,complotist
410,3,3,17,2,2,1,1,66,complotist
411,2,1,35,1,2,1,4,25,Not complotist
412,3,2,28,1,1,2,2,21,Not complotist
413,1,1,36,1,1,2,4,35,Not complotist
414,3,1,42,1,1,2,2,47,complotist
415,2,2,25,1,2,1,2,55,complotist
416,3,1,23,1,1,1,2,46,complotist
417,2,2,57,2,2,3,5,19,Not complotist
418,2,1,21,2,1,1,1,47,complotist
419,2,1,18,1,2,1,2,19,Not complotist
420,2,2,23,1,2,1,3,48,complotist
421,2,1,42,1,2,2,1,61,complotist
422,3,1,32,2,2,2,2,73,complotist
423,2,1,47,1,2,2,2,69,complotist
424,3,1,24,1,2,1,2,57,complotist
425,1,1,18,1,2,1,2,46,complotist
426,3,1,75,2,1,2,2,21,Not complotist
427,2,2,20,1,2,1,2,44,complotist
428,2,2,17,1,2,1,7,27,Not complotist
429,3,2,16,1,2,1,3,35,Not complotist
430,2,2,25,1,1,1,2,37,Not complotist
431,1,2,17,1,2,1,1,37,Not complotist
432,1,2,15,1,2,1,3,32,Not complotist
433,2,3,28,3,1,2,98,39,Not complotist
434,2,3,16,1,2,1,3,47,complotist
435,2,2,24,1,2,1,2,26,Not complotist
436,3,2,45,1,2,1,2,69,complotist
437,0,1,33,1,1,2,3,73,complotist
438,3,2,14,1,2,1,2,31,Not complotist
439,2,1,33,1,1,1,2,62,complotist
440,3,1,39,1,1,3,2,53,complotist
441,1,2,16,1,2,1,2,45,complotist
442,2,2,35,3,2,2,2,32,Not complotist
443,2,2,32,1,1,1,6,51,complotist
444,1,2,17,1,2,1,1,21,Not complotist
445,1,2,18,1,2,1,2,15,Not complotist
446,2,1,18,1,2,1,2,45,complotist
447,2,1,55,1,1,1,2,45,complotist
448,0,1,39,0,0,0,0,19,Not complotist
449,3,1,14,1,2,1,2,43,complotist
450,1,2,19,1,2,1,3,59,complotist
451,1,1,19,1,2,1,1,43,complotist
452,2,2,16,1,2,1,2,41,complotist
453,3,2,15,1,2,1,2,22,Not complotist
454,3,2,17,1,2,1,2,45,complotist
455,3,1,23,1,1,1,2,56,complotist
456,1,2,58,1,2,2,4,71,complotist
457,2,2,15,1,2,1,2,41,complotist
458,3,2,16,1,2,1,5,67,complotist
459,2,2,19,1,2,1,2,35,Not complotist
460,2,2,16,1,2,1,2,43,complotist
461,2,1,14,1,2,1,1,39,Not complotist
462,0,2,15,1,2,1,1,38,Not complotist
463,3,2,15,1,2,1,3,37,Not complotist
464,3,2,46,1,2,2,2,33,Not complotist
465,2,2,19,1,2,1,2,59,complotist
466,3,2,14,1,2,1,2,21,Not complotist
467,2,2,50,1,2,2,4,43,complotist
468,2,2,18,1,2,1,1,29,Not complotist
469,1,1,20,1,1,1,3,52,complotist
470,0,2,42,1,1,1,1,69,complotist
471,2,2,19,1,2,1,3,53,complotist
472,2,1,20,1,1,1,2,18,Not complotist
473,2,2,22,1,2,1,2,48,complotist
474,2,1,25,1,1,1,4,39,Not complotist
475,3,1,18,2,2,1,4,49,complotist
476,2,2,13,1,2,1,2,41,complotist
477,2,1,15,1,2,1,5,75,complotist
478,0,1,34,1,1,2,2,49,complotist
479,2,1,20,1,1,1,3,38,Not complotist
480,2,2,19,1,1,1,2,40,complotist
481,2,1,42,1,2,1,1,68,complotist
482,2,3,42,1,2,1,2,42,complotist
483,3,2,17,1,2,1,2,53,complotist
484,3,2,25,1,1,1,3,46,complotist
485,2,1,21,1,2,1,2,22,Not complotist
486,2,1,66,1,2,2,1,57,complotist
487,3,1,19,1,2,1,3,55,complotist
488,2,2,14,1,2,1,2,30,Not complotist
489,2,1,56,1,2,3,2,37,Not complotist
490,2,2,15,1,2,1,3,34,Not complotist
491,3,1,19,1,2,1,2,59,complotist
492,3,3,19,2,2,1,3,50,complotist
493,3,2,27,1,1,2,2,50,complotist
494,3,3,21,1,2,1,2,46,complotist
495,1,2,34,1,1,2,1,28,Not complotist
